,food,green,wood,paper_cardboard,textiles,total
2014-01-01,412467.6483350195,103486.26726760896,143367.50887409915,320800.330913008,42410.025376635385,1022531.7807663709
2014-02-01,373252.5953143487,93660.13798825763,129792.88088280903,290471.83140864735,38406.99084544195,925584.4364395046
2014-03-01,411661.9354745889,103337.80856417345,143313.95579456657,320854.5580113735,42440.55463652307,1021608.8124812255
2014-04-01,399049.229359158,100186.2336637246,138986.58673816902,311218.44337623497,41173.162263857164,990613.6554011438
2014-05-01,413174.2494218671,103745.14490363507,143962.17814535642,322406.52389577636,42659.83471189417,1025947.9310785291
2014-06-01,400506.5571742812,100578.9264101676,139612.0367101531,312716.52395087347,41384.918690924824,994798.9629364002
2014-07-01,414673.9788774693,104149.42934099822,144606.61990708957,323950.72816441045,42878.200528341775,1030258.9568183094
2014-08-01,415431.26271518494,104353.70490367395,144932.66353950178,324732.4932348015,42988.8207780143,1032438.9451711766
2014-09-01,404967.24863407447,101712.22430877422,141234.13873784692,316419.3496798199,41885.470959683174,1006218.4323201986
2014-10-01,419193.02962234843,105298.86024676915,146255.64906239812,327719.45723846904,43388.261846442314,1041855.2580164272
2014-11-01,406394.34853190836,102097.5787664149,141850.479309636,317898.7089256536,42095.01984659009,1010336.1353802029
2014-12-01,420661.65166514344,105695.58978023731,146890.7048169797,329244.3637761637,43604.3512204876,1046096.6612590118
2015-01-01,421403.2254683473,105896.04755159857,147211.9994090776,330016.35866156605,43713.81821571002,1048241.4493062996
2015-02-01,381289.2383996552,95828.41091150123,133255.01707959562,298774.803012975,39582.112412020666,948729.5818157478
2015-03-01,420525.58461929054,105730.12376965734,147136.75740345483,330026.0025241451,43739.08935515385,1047157.5576717017
2015-04-01,407590.60561592993,102492.5460090471,142675.0913944285,320071.4491053174,42427.14337443098,1015256.8354991539
